PROD_EST,ANIO,MES,TIPO,TIPO_DE_TRANSPORTE,CATEGORIA,VARIABLE,VALOR,UNIDAD_DE_MEDIDA,ESTATUS
Encuesta de Turismo de Internación (ETI),2019,Febrero,Egresos,Terrestre,Turistas de internación,Gasto total,96387371,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Febrero,Egresos,Aéreo,Turistas de internación,Número de visitantes,343512,Número de salidas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Febrero,Egresos,Terrestre,Turistas de internación,Número de visitantes,338605,Número de salidas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Marzo,Ingresos,Aéreo,Turistas de internación,Gasto total,2089029913,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Marzo,Ingresos,Terrestre,Turistas de internación,Gasto total,125306497,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Marzo,Ingresos,Cruceros,Excursionistas en cruceros,Gasto total,65847693,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Marzo,Ingresos,Aéreo,Turistas de internación,Número de visitantes,2038211,Número de entradas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Marzo,Ingresos,Terrestre,Turistas de internación,Número de visitantes,321576,Número de entradas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Marzo,Ingresos,Cruceros,Excursionistas en cruceros,Número de visitantes,961640,Número de entradas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Marzo,Egresos,Aéreo,Turistas de internación,Gasto total,326353385,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Marzo,Egresos,Terrestre,Turistas de internación,Gasto total,66511137,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Marzo,Egresos,Aéreo,Turistas de internación,Número de visitantes,397267,Número de salidas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Marzo,Egresos,Terrestre,Turistas de internación,Número de visitantes,307633,Número de salidas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Abril,Ingresos,Aéreo,Turistas de internación,Gasto total,1675677799,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Abril,Ingresos,Terrestre,Turistas de internación,Gasto total,114178473,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Abril,Ingresos,Cruceros,Excursionistas en cruceros,Gasto total,63372322,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Abril,Ingresos,Aéreo,Turistas de internación,Número de visitantes,1627553,Número de entradas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Abril,Ingresos,Terrestre,Turistas de internación,Número de visitantes,273938,Número de entradas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Abril,Ingresos,Cruceros,Excursionistas en cruceros,Número de visitantes,916825,Número de entradas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Abril,Egresos,Aéreo,Turistas de internación,Gasto total,439680857,Dólares,Cifras preliminares
